16777216	16842751	256	1.0.0.0	1.0.255.255	AP				35.0	105.0
16842752	16908287	257	1.1.0.0	1.1.255.255	AP				35.0	105.0
16908288	16973823	258	1.2.0.0	1.2.255.255	AP				35.0	105.0
16973824	17039359	259	1.3.0.0	1.3.255.255	AP				35.0	105.0
17039360	17104895	260	1.4.0.0	1.4.255.255	AP				35.0	105.0
17104896	17170431	261	1.5.0.0	1.5.255.255	AP				35.0	105.0
17170432	17235967	262	1.6.0.0	1.6.255.255	AP				35.0	105.0
17235968	17301503	263	1.7.0.0	1.7.255.255	AP				35.0	105.0
17301504	17367039	264	1.8.0.0	1.8.255.255	AP				35.0	105.0
17367040	17432575	265	1.9.0.0	1.9.255.255	AP				35.0	105.0
17432576	17498111	266	1.10.0.0	1.10.255.255	AP				35.0	105.0
17498112	17563647	267	1.11.0.0	1.11.255.255	AP				35.0	105.0
17563648	17629183	268	1.12.0.0	1.12.255.255	AP				35.0	105.0
17629184	17694719	269	1.13.0.0	1.13.255.255	AP				35.0	105.0
17694720	17760255	270	1.14.0.0	1.14.255.255	AP				35.0	105.0
